;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
62;0.53;96.9578;27229.735;0.2244;74.9458;1961132.401;15.8357;31.8547;0.0;0.0;95.5797;0.0;452.3509;575.8266;0.0;50.7374;855.3839;10.7889;8257.8837;1.8597;0.4851;118.1846;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
63;0.4225;102.4758;28277.622;0.1501;83.0126;2020691.9368;16.5813;43.4752;0.0;0.0;95.4621;0.0;477.9214;588.2856;0.0;60.2434;859.9229;11.5786;8966.6565;2.8616;0.2873;110.6981;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
64;0.4333;97.4339;27906.637;0.1549;78.0042;1947440.6792;15.0563;43.7941;0.0;0.0;93.2441;0.0;483.0825;555.8591;0.0;65.6054;870.2165;10.6182;9439.4821;1.7996;0.2597;101.4209;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
65;0.4286;94.5034;28388.3572;0.1915;78.144;1958940.5989;16.3635;45.7363;0.0;0.0;93.6373;0.0;447.1656;560.5572;0.0;67.7694;862.1974;11.9439;10025.5508;2.4678;0.4849;107.6466;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
66;0.5151;111.5143;27798.688;0.2151;90.4175;1955019.2401;16.9763;38.4167;0.0;0.0;95.9779;0.0;511.1883;561.5946;0.0;66.3534;883.8738;11.516;8046.9772;2.5897;0.496;112.8074;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
67;0.4208;96.407;28493.8575;0.162;78.5304;1968474.9896;15.2096;45.023;0.0;0.0;93.9963;0.0;485.3227;561.8004;0.0;63.8301;874.7016;10.1486;10850.1928;2.2967;0.396;111.6953;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
68;0.399;89.1186;28518.5904;0.1817;73.8411;2004667.2231;16.1865;46.3051;0.0;0.0;93.2621;0.0;425.4519;574.9539;0.0;60.8234;875.5691;11.134;11785.2429;1.8144;0.4242;109.1368;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
69;0.454;93.4052;27742.5699;0.1456;71.2373;1994215.3426;16.5992;41.607;0.0;0.0;95.1902;0.0;408.5195;577.1061;0.0;50.8256;868.9762;10.6247;8467.0313;2.6824;0.233;102.8089;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
70;0.4379;86.398;28484.2491;0.1743;68.1884;1967484.6832;15.4537;42.5154;0.0;0.0;95.8668;0.0;423.0059;564.4918;0.0;53.5556;873.3352;10.3707;10418.437;2.2589;0.4273;118.0572;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
71;0.4126;90.8078;27401.4134;0.1406;71.6905;1925696.722;15.5173;33.497;0.0;0.0;93.7309;0.0;433.0404;555.1245;0.0;56.2624;888.2091;10.7531;9367.6066;2.6048;0.2621;117.5154;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
