;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
339;0.4518;749.8768;24302.0;0.2125;732.1609;1798828.6315;5.141;0.0;0.0;0.0;42.0112;0.0;515.7818;597.0156;0.0;0.0;863.9072;10.0828;10070.3767;2.2496;1.3376;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
340;0.3904;570.9914;24302.0;0.1929;556.3712;1798713.1374;4.1726;0.0;0.0;0.0;45.3167;0.0;520.9046;596.9772;0.0;0.0;895.5663;11.9078;10331.8766;2.8678;1.594;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
341;0.4613;410.2216;24302.0;0.1951;390.9995;1755146.8815;3.1689;0.0;0.0;0.0;44.1493;0.0;469.6058;582.4921;0.0;0.0;855.2337;10.8155;8442.3623;2.6113;1.5012;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
342;0.4267;397.2985;24302.0;0.1823;380.5106;1669309.1674;3.2484;0.0;0.0;0.0;43.4946;0.0;439.2124;553.9524;0.0;0.0;856.0291;10.3308;9625.1299;2.5348;1.4967;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
343;0.4184;487.3125;24302.0;0.1911;471.0061;1743129.1744;3.6428;0.0;0.0;0.0;43.8897;0.0;489.2106;578.4964;0.0;0.0;879.4862;10.432;10247.2095;2.3253;1.5537;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
344;0.4043;420.2408;24302.0;0.1825;404.5659;1717447.0665;3.1952;0.0;0.0;0.0;43.6444;0.0;476.3891;569.9575;0.0;0.0;850.0484;10.9449;10010.7942;2.5685;1.6414;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
345;0.4989;683.2107;24302.0;0.2438;665.7189;1666572.4976;5.6508;0.0;0.0;0.0;43.0468;0.0;437.1836;553.0425;0.0;0.0;876.3473;10.685;8916.9714;2.3595;1.4634;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
346;0.4183;350.8136;24302.0;0.1961;335.206;1706844.7642;3.0525;0.0;0.0;0.0;45.8124;0.0;433.6917;566.4324;0.0;0.0;887.7617;11.4742;9530.8895;2.5186;1.8847;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
347;0.5001;590.3404;24302.0;0.2383;570.9208;1802886.8671;3.9575;0.0;0.0;0.0;43.3615;0.0;539.2638;598.3649;0.0;0.0;889.7296;11.3145;8205.2838;2.4672;1.8519;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
348;0.4926;594.0218;24302.0;0.2241;575.487;1677775.4295;4.2021;0.0;0.0;0.0;42.9445;0.0;507.0125;556.7673;0.0;0.0;895.6906;10.3224;8769.2849;2.2827;1.5673;0.0;0.0;58.76;1.716;1.12;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1395.0;24302.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0
