;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
136;0.9906;272.5288;77263.3259;0.2581;243.4688;3065073.0449;1.2913;0.0;44.1606;65.633;95.5591;0.0;541.0583;576.9482;0.0;0.0;863.6977;10.096;10447.1286;2.2851;9.6773;162.238;59.7374;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
137;0.9275;232.9474;75881.3677;0.2337;203.7844;3189481.0992;1.0914;0.0;47.5405;75.5973;93.5559;0.0;524.5826;578.7834;0.0;0.0;890.5437;11.0176;9926.6054;1.9436;8.8725;188.6821;32.6277;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
138;1.0496;314.5531;76729.4129;0.2739;284.9877;2924577.663;1.5167;0.0;38.5498;60.6111;93.5208;0.0;527.7041;570.0983;0.0;0.0;888.0548;10.273;9629.0374;2.2253;8.5502;166.7786;56.3633;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
139;0.9605;234.0294;76550.8256;0.244;204.8241;3120300.413;1.1216;0.0;39.2567;70.8637;94.4487;0.0;517.9584;599.9194;0.0;0.0;893.2864;10.4544;10219.6568;1.9849;9.4877;197.0835;44.9504;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
140;0.9476;219.0543;75872.967;0.2448;193.4978;2759009.415;1.2373;0.0;41.7114;61.5305;95.1894;0.0;447.0389;578.649;0.0;0.0;853.7167;10.7797;10014.8406;2.5297;9.5771;190.6938;40.6108;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
141;0.8817;240.2613;77269.4686;0.233;213.7281;3160353.3668;1.1752;0.0;48.2294;75.321;93.3794;0.0;509.9842;589.1159;0.0;0.0;870.6798;10.4098;11442.0644;2.2081;9.4055;185.8786;51.1793;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
142;1.0333;265.867;76442.9343;0.2759;237.656;2847139.6035;1.454;0.0;42.9998;61.044;95.6912;0.0;469.6909;591.0388;0.0;0.0;862.5381;10.5203;9593.1831;2.1282;8.8169;192.6477;50.0554;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
143;0.8235;228.4771;76169.226;0.2416;205.875;2958419.7943;1.2128;0.0;48.5554;66.3029;94.5659;0.0;482.064;589.4275;0.0;0.0;856.6205;11.9246;10976.5491;1.8937;8.7468;166.244;42.0848;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
144;1.0182;217.0258;77195.011;0.2222;188.0669;2808379.5373;1.1689;0.0;38.5953;67.0307;95.117;0.0;459.5672;561.3804;0.0;0.0;874.4666;10.133;9570.5549;2.8527;8.972;185.2465;57.4815;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
145;0.9063;281.5084;77202.0222;0.2731;255.7985;3134716.7842;1.3283;0.0;37.9855;74.2735;93.1099;0.0;538.4599;562.1864;0.0;0.0;875.086;10.6062;11495.7288;1.9101;9.7523;196.5096;51.801;35.25;1.124;1.074;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;570.8;1395.0;79000.0;20.0;0.0;40.0;180.0;45.0;25.0;33.3;1.0;4000.0
