;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren
53;0.3477;82.433;26737.4655;0.1321;66.916;1924095.8819;15.2357;32.3842;0.0;0.0;95.8116;0.0;420.8098;561.5425;0.0;67.5398;855.8814;11.3948;10882.1068;2.2081;0.2521;101.0513;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
54;0.4668;94.2682;27644.91;0.2085;75.7483;1982148.6866;16.4156;39.5733;0.0;0.0;93.1598;0.0;429.8775;573.0198;0.0;54.7781;874.5243;10.2725;10418.8917;1.8054;0.4835;105.6245;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
55;0.436;102.6606;27269.7052;0.1575;82.2852;1994759.2851;16.6169;32.0726;0.0;0.0;95.0036;0.0;470.4482;585.7298;0.0;51.6859;868.976;11.4404;8557.4355;1.9161;0.2206;118.6279;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
56;0.5153;103.7468;28895.9459;0.1712;79.0747;2072102.5694;15.4386;47.5609;0.0;0.0;93.5546;0.0;479.1756;595.6719;0.0;61.9754;895.8033;10.4965;8001.2958;2.5106;0.3311;114.1893;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
57;0.4222;98.3394;28646.1655;0.1896;82.5259;1947596.4146;16.6034;43.6484;0.0;0.0;95.1434;0.0;472.903;560.6517;0.0;50.6541;852.5986;11.7149;10513.1869;1.9747;0.4313;118.7023;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
58;0.3639;89.6259;27323.9733;0.1577;74.9332;1946659.5324;16.26;35.2464;0.0;0.0;94.789;0.0;436.8293;564.1695;0.0;55.0566;872.3203;11.5621;11459.1415;2.963;0.4189;109.4856;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
59;0.5012;90.9013;28822.0742;0.1858;69.3974;1964882.2958;15.6247;49.6177;0.0;0.0;93.6923;0.0;416.136;552.3005;0.0;54.6621;883.4319;11.3656;8039.4682;2.0524;0.3448;107.967;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
60;0.391;85.3305;28107.002;0.1512;68.6873;1951160.4191;15.4429;40.2847;0.0;0.0;93.3497;0.0;415.2028;556.2298;0.0;55.3701;891.3104;11.9645;9798.5046;1.8982;0.2635;115.2299;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
61;0.4188;83.3639;28021.5595;0.1499;64.1398;2003121.0055;15.0353;43.0028;0.0;0.0;94.2357;0.0;402.0048;579.1189;0.0;58.2755;869.8437;11.295;9225.2252;2.3321;0.2858;105.9596;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
62;0.3309;101.4408;26688.3327;0.1245;85.8617;2014284.6201;15.9662;31.4508;0.0;0.0;93.0446;0.0;500.3677;594.2752;0.0;56.8418;864.1694;11.182;11562.7109;2.8585;0.2691;102.4881;0.0;35.25;1.14;1.141;2.4;2.41;0.0;0.0;0.0;7.52;24.5;14.77;0.0;0.0;0.0;571.0;1395.0;33465.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0
