;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;E_batt;E_battEmptyPHEV;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;cd;cd_phev;Em_elBatt;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_battSet;C_fcSet;CF;w_h2;w_synth;s_ren;Number;fe_phev_cd;fe_phev_cs;c_phev_el;c_phev_synth
65;0.364;131.3983;40203.5565;0.1346;47.0923;14776581.5218;16.4013;67.3636;0.0;0.0;0.0;93.4715;0.0;268.3803;523.2652;0.0;0.4566;769.9935;16.836;10410.616;7.9343;0.3943;197.4888;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;66;0.0;0.0;0.0;0.0
66;0.3611;143.0896;38413.7272;0.1425;44.3091;17355306.2415;15.936;70.1415;0.0;0.0;0.0;93.8105;0.0;260.8348;511.1093;0.0;0.3069;890.4134;16.9807;10346.7864;7.1909;0.4385;164.15;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;67;0.0;0.0;0.0;0.0
67;0.3458;113.4724;36885.5005;0.1359;47.1437;11657286.8367;16.2974;50.834;0.0;0.0;0.0;94.9811;0.0;274.7528;576.4547;0.0;0.8005;746.9112;15.839;11096.031;7.8246;0.4238;196.4335;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;68;0.0;0.0;0.0;0.0
68;0.3089;128.6295;34551.1912;0.1016;68.7114;9986958.4861;16.8736;43.6655;0.0;0.0;0.0;95.9059;0.0;390.5408;530.4171;0.0;0.9361;726.0147;15.6824;10628.2654;7.8316;0.2154;175.2228;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;69;0.0;0.0;0.0;0.0
69;0.3391;137.5345;39149.5337;0.1006;55.1876;13519918.4683;15.8716;62.8821;0.0;0.0;0.0;95.3237;0.0;331.453;585.5284;0.0;0.1425;728.2532;15.9002;10325.8146;7.0582;0.2068;194.8016;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;70;0.0;0.0;0.0;0.0
70;0.3201;114.2891;38303.6383;0.1083;35.1891;14305917.3497;15.121;64.7419;0.0;0.0;0.0;94.2034;0.0;219.2274;521.886;0.0;0.7233;770.8575;15.2113;11889.7664;7.4279;0.3143;176.14;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;71;0.0;0.0;0.0;0.0
71;0.3527;131.1221;37457.1066;0.1329;53.9902;13146340.292;15.2782;54.1462;0.0;0.0;0.0;94.8249;0.0;335.0931;587.2386;0.0;0.0978;810.8412;15.6697;10877.0284;7.2289;0.4206;194.9741;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;72;0.0;0.0;0.0;0.0
72;0.3454;147.4122;37844.5358;0.135;63.7062;15057471.719;16.3595;58.0632;0.0;0.0;0.0;93.8288;0.0;365.3823;557.2889;0.0;0.6408;898.1313;16.8025;10705.8526;7.3419;0.4005;188.4935;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;73;0.0;0.0;0.0;0.0
73;0.3369;135.7756;40931.8224;0.1243;45.9996;17287407.4142;16.7901;76.8387;0.0;0.0;0.0;95.9575;0.0;262.8933;519.4234;0.0;0.6554;811.0803;16.0951;11963.9874;7.6536;0.3704;182.614;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;74;0.0;0.0;0.0;0.0
74;0.3097;105.2286;35441.412;0.1061;36.7816;11912339.0531;15.6213;47.4554;0.0;0.0;0.0;93.2604;0.0;219.5889;561.8913;0.0;0.7981;823.2879;15.9193;10932.4774;7.0211;0.2604;179.9882;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;150.0;0.0;1.0;1.0;1.0;4000.0;75;0.0;0.0;0.0;0.0
