;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;L (years);D (km);r (%);Em_elFC;Em_elVC;Em_elBatt;C_fuel;cd_phev (%);fe_phev_cd (%);fe_phev_cs (%);c_phev_el;c_phev_synth;E_battPHEV;E_batt;P_batt;P_fc;C3;C5;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_fcSet;CF;w_h2;w_synth;s_ren;Number
638;0.3496;509.8033;24302.0;0.214;496.394;2403717.2557;6.5779;16.4097;10923.9022;7.4301;282.1223;587.7297;708.6105;1.7677;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.1333;295.3835;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;639
639;0.326;448.9229;24302.0;0.2009;437.8814;2145771.6827;5.6985;16.6249;11689.5416;7.3241;278.0763;524.5316;736.2333;1.9163;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.9808;349.8492;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;640
640;0.4002;434.4828;24302.0;0.2582;421.7242;2184287.1349;6.1606;16.3666;10460.3521;7.5673;249.8409;533.9681;818.3783;2.476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.4818;23.3963;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;641
641;0.3196;570.3712;24302.0;0.1765;557.6256;2164773.2921;5.5013;15.5088;10951.4662;7.7299;369.8603;529.1871;777.0225;1.5295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.5313;48.6698;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;642
642;0.3016;371.8997;24302.0;0.1718;359.9501;2237479.8049;5.8254;16.0213;11687.2074;7.0934;213.1454;547.0006;851.7713;1.425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.4618;490.1043;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;643
643;0.3682;568.6438;24302.0;0.2362;555.321;2452041.4649;6.1704;16.2675;11313.9178;7.2514;339.3287;599.5694;703.8023;2.233;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.5282;159.9372;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;644
644;0.347;497.0859;24302.0;0.1927;482.9207;2231052.6039;5.1603;15.2365;10337.1574;7.0824;334.4821;545.4259;723.0008;1.7926;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.0233;125.4296;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;645
645;0.3682;439.8804;24302.0;0.2256;425.8689;2388591.8848;5.2255;15.2177;11202.3015;7.2314;287.0439;584.0239;814.5581;2.4429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.1784;255.4738;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;646
646;0.3927;597.1823;24302.0;0.2566;584.8922;2194695.47;6.6615;15.2295;11725.4576;7.3715;334.8176;536.5182;715.7629;2.3815;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.2394;195.0064;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;647
647;0.3333;562.6125;24302.0;0.18;548.1065;2299764.9216;5.8163;15.1098;10492.4631;7.5908;347.4387;562.2608;774.8586;1.439;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.7193;205.0702;0.0;0.0;58.76;1716.0;1120.0;2.4;2.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;790.0;1375.0;24302.0;0.0;0.0;0.0;0.0;1.0;1.0;11.6;0.0;648
