;Vehicle;TCO (€/km);LCE;TCO_Capex (€);TCO_Opex (€/km);Em_fc;Em_vc;FE;L (years);D (km);r (%);Em_elFC (gGHG/kWh);Em_elVC (gGHG/kWh);Em_elBatt (gGHG/kWh);C_fuel;cd_phev (%);fe_phev_cd (%);fe_phev_cs (%);c_phev_el;c_phev_synth;E_battPHEV;E_batt;P_batt;P_fc;C3;C5;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_fcSet;CF;w_h2;w_synth;s_ren
130;PHEV;0.3948;766.3848;27587.9496;0.237;752.7712;2380245.6172;6.6882;16.4594;10622.6951;7.6395;425.2677;539.2185;882.2742;1.9238;0.0091;15.2148;6.6099;0.2862;1.9388;11.9173;0.0;0.0;0.0;44.3408;240.4733;186.4474;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;670.3453;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
131;PHEV;0.4343;665.269;27132.0892;0.2644;651.4351;2209571.3226;5.2419;15.7136;10164.4946;7.0725;461.3687;500.4739;737.8849;2.7917;0.0097;15.9402;5.1375;0.3147;2.8159;10.3365;0.0;0.0;0.0;43.2306;259.2342;170.8595;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;674.5401;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
132;PHEV;0.3515;765.5125;27130.8652;0.179;750.5734;2349188.698;5.8567;15.0637;10439.0627;7.0283;471.2296;532.1683;811.3429;1.3871;0.0098;16.7776;5.7488;0.4215;1.3966;10.1249;0.0;0.0;0.0;42.9955;302.3104;174.3094;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;673.0887;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
133;PHEV;0.4023;751.2675;27122.7879;0.2514;738.3814;2316124.8099;6.3884;15.0006;11982.0847;7.7835;437.5977;524.6625;770.5869;2.2966;0.0098;16.8487;6.2852;0.2224;2.3171;10.7023;0.0;0.0;0.0;43.5752;65.4701;164.1505;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;677.3494;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
134;PHEV;0.4014;813.811;27532.4385;0.2389;800.4011;2272241.9671;6.4767;15.3038;11072.0675;7.6816;445.2812;514.7007;843.9925;2.0623;0.0097;16.4061;6.3794;0.3646;2.0789;11.1285;0.0;0.0;0.0;42.6565;399.3084;194.6748;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;660.5319;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
135;PHEV;0.3814;701.1739;27543.4445;0.2193;688.1331;2215419.549;5.4312;16.8779;10065.4814;7.9968;492.916;501.8015;881.1796;2.1015;0.0095;16.9721;5.3207;0.2333;2.1194;11.7271;0.0;0.0;0.0;45.0608;210.4518;185.6763;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;664.8234;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
136;PHEV;0.3794;641.2383;27234.5756;0.2114;625.1434;2609088.9727;5.4594;15.5434;10429.3313;7.0231;435.0009;591.168;828.6578;1.959;0.0095;15.7748;5.3609;0.3555;1.9743;11.1155;0.0;0.0;0.0;44.9373;403.4272;168.1054;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;665.972;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
137;PHEV;0.3572;687.1074;27308.659;0.1827;671.3305;2469007.739;5.4382;15.3205;10214.7267;7.0973;477.0962;559.3683;777.1577;1.5206;0.0092;15.8141;5.3413;0.4319;1.5308;11.6;0.0;0.0;0.0;44.1748;4.9029;167.4706;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;676.7343;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
138;PHEV;0.4058;590.1201;27445.6932;0.2339;575.9498;2263184.6168;5.2967;15.2261;10489.4494;7.0435;408.1933;512.6446;766.0775;2.3387;0.0096;15.7868;5.1953;0.3122;2.3583;11.6198;0.0;0.0;0.0;44.7328;471.1545;178.9784;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;679.2844;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
139;PHEV;0.3627;668.3926;27642.6989;0.2056;653.413;2635417.8854;5.9791;15.8321;11112.5067;7.3814;407.5467;597.1449;851.9641;1.7857;0.0094;15.6185;5.8872;0.4779;1.7982;11.4808;0.0;0.0;0.0;44.1171;358.1505;198.3049;0.0;42.39;1656.0;1174.0;2.41;2.38;0.0;0.0;0.0;9.43;33.62;300.0;0.0;0.0;0.0;662.8213;1400.0;30366.0;0.0;10.0;0.0;0.0;1.0;1.0;11.6;3000.0
