;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;L (years);D (km);r (%);Em_elFC (gGHG/kWh);Em_elVC (gGHG/kWh);Em_elBatt (gGHG/kWh);C_fuel;cd_phev (%);fe_phev_cd (%);fe_phev_cs (%);c_phev_el;c_phev_synth;E_battPHEV;E_batt;P_batt;P_fc;C3;C5;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_fcSet;CF;w_h2;w_synth;s_ren;Number
233;0.6046;183.7369;83379.6804;0.1407;159.8963;4285050.5981;1.0203;16.8871;10643.4876;7.3827;444.1266;598.5019;796.075;6.9968;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.6228;107.3076;94.3714;0.0;196.6316;110.5162;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;558.433;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;234
234;0.6433;206.1206;80985.759;0.1354;180.9629;4011194.8789;1.1484;15.4079;10348.0591;7.2187;441.9076;573.5555;785.6913;5.6026;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.9924;90.0841;93.3855;0.0;186.5718;104.6944;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;564.6874;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;235
235;0.6245;239.7276;83418.8519;0.1599;217.2322;4039118.3118;1.406;16.9065;10620.3746;7.1084;436.879;540.2169;819.8132;6.1879;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.3142;103.5804;94.16;0.0;194.4282;114.1721;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;564.9022;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;236
236;0.6398;200.0217;80065.1255;0.1303;174.8547;3955246.7841;1.1457;15.109;10401.739;7.1921;437.2401;530.9419;863.359;5.2442;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.1822;99.0705;95.4021;0.0;195.9571;85.7386;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;565.2026;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;237
237;0.6337;200.4777;80088.6552;0.1269;175.6932;3916522.6528;1.1991;15.3246;10311.7131;7.7639;411.5869;538.3584;865.1741;4.8916;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.5286;103.6508;93.5419;0.0;170.514;82.746;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;553.7033;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;238
238;0.6087;207.7015;78593.6294;0.1149;182.2719;4047805.0849;1.0614;15.8667;10032.1075;7.9696;490.0002;551.9018;869.2389;4.4378;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.1729;86.6338;95.0167;0.0;184.2134;82.0457;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;551.8076;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;239
239;0.6445;256.8608;81574.9382;0.1305;230.051;4254813.0009;1.3192;15.6218;10159.1218;7.9092;499.794;562.6341;846.1337;4.6012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.6301;94.0839;95.4381;0.0;187.1279;106.4456;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;559.8966;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;240
240;0.5752;222.9956;82932.9062;0.121;200.631;4083469.1049;1.4171;15.5195;11764.9531;7.8609;402.1605;573.4703;896.9581;4.2474;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.9406;108.1842;94.5902;0.0;183.7718;104.8818;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;553.9763;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;241
241;0.578;192.5535;81496.4599;0.1273;169.0494;4249706.8203;1.0327;15.4844;11676.7402;7.4986;468.9635;579.6613;887.3715;6.2546;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.5416;99.1879;95.399;0.0;174.0902;100.818;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;556.5129;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;242
242;0.5661;256.6408;80064.8884;0.138;235.3212;3987508.5017;1.4709;15.6144;11978.3561;7.2073;448.8252;564.5602;783.9911;5.0363;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.2244;87.6606;93.4208;0.0;171.2785;97.0322;35.25;1124.0;1074.0;2.41;2.43;1.25;5.01;6.22;0.0;0.0;0.0;5.0;56.48;40.89;564.153;1657.0;78600.0;20.0;0.0;40.0;80.0;25.0;33.3;1.0;4000.0;243
