TCO;LCE
0.5021;503.1710
0.4467;255.0579
0.4576;318.8259
0.4042;236.4265
0.4702;397.3154
0.4032;296.1078
0.4352;395.6321
0.3635;225.8226
0.5290;461.9432
0.5060;381.5401
0.4147;280.2657
0.4425;273.2868
0.4637;334.2363
0.4931;352.9335
0.4589;267.5695
0.4278;242.4304
0.4725;362.1502
0.4893;372.8382
0.5039;503.5512
0.4432;386.4208
0.4069;267.0818
0.3831;229.8210
0.4358;289.7998
0.3957;279.8420
0.5042;420.6319
0.4093;285.4335
0.4979;439.8072
0.4230;234.8198
0.4145;266.4178
0.4751;415.7670
0.4490;350.0941
0.4792;398.0354
0.5189;380.7189
0.4313;262.6166
0.4767;397.3485
0.5066;381.9761
0.4816;393.5697
0.4171;250.6568
0.4432;384.7294
0.4730;368.8540
0.4754;434.5622
0.4765;384.7575
0.4939;425.6350
0.4123;237.8724
0.3831;260.4293
0.4193;265.6891
0.4896;371.6019
0.4968;397.9198
0.4192;285.1439
0.4988;461.6082
0.4173;249.0389
0.5234;457.2888
0.4626;256.4062
0.4829;468.8932
0.4432;377.2185
0.4497;303.0857
0.4830;359.0164
0.4406;353.1093
0.4172;300.3128
0.4185;242.9683
0.4894;395.2543
0.4280;342.4425
0.4419;333.7834
0.4758;378.7943
0.4916;438.7825
0.4114;248.8519
0.4619;458.4701
0.4191;312.9492
0.3839;269.1990
0.4763;360.0288
0.4504;251.5759
0.4288;278.1044
0.4609;369.5077
0.4547;380.5927
0.4580;310.6684
0.4209;254.2930
0.4537;431.4285
0.4414;342.0545
0.4680;297.7957
0.4729;337.9676
0.5464;406.5723
0.4044;266.7995
0.4223;261.6475
0.4630;407.5943
0.4140;284.3254
0.4199;268.6205
0.3996;253.5744
0.4474;249.6462
0.4633;342.3549
0.4633;421.5486
0.4998;353.4783
0.5231;504.3315
0.4034;276.2419
0.4029;269.0267
0.4753;381.7531
0.4192;310.6615
0.4233;218.6884
0.4235;234.7578
0.4588;369.7659
0.4226;282.3950
0.4256;246.9581
0.4632;316.8184
0.4131;328.2563
0.5053;498.9142
0.4941;387.5724
0.4047;277.7643
0.4477;295.7413
0.3879;210.5110
0.4659;415.1532
