;TCO (€/km);LCE (gGHG/km);TCO_Capex (€);TCO_Opex (€/km);Em_fc (gGHG/km);Em_vc (gGHG);FE;fe_phev_cd;fe_phev_cs;c_phev_el;c_phev_synth;E_batt;E_battEmptyPHEV;P_batt;P_fc;C3;C5;Em_elFC;Em_elVC;Em_elBatt;cd_phev;L;D;r;C_fuel;C_batt;C_fc;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14;C_main;m_curb;C_msrp;P_battSet;E_battSet;P_fcSet;C_fcSet;CF;w_h2;w_synth;s_ren;Number
32;0.3178;129.0811;38968.8714;0.112;51.5975;14672629.8883;15.1855;0.0;0.0;0.0;0.0;63.1934;0.0;0.0;0.0;94.5065;0.0;321.1156;523.6551;811.6378;0.17;16.6703;11359.3836;7.1428;0.3156;190.9831;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;33
33;0.3588;139.9358;38270.6327;0.1291;61.7222;13033124.501;16.819;0.0;0.0;0.0;0.0;61.2527;0.0;0.0;0.0;93.0482;0.0;341.4675;517.785;730.4505;0.6742;16.4241;10145.7597;7.5248;0.3426;185.6348;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;34
34;0.3674;148.8874;39506.9457;0.1507;54.2636;17251634.2827;16.3133;0.0;0.0;0.0;0.0;74.3953;0.0;0.0;0.0;93.1622;0.0;309.8894;526.2495;833.3411;0.9984;16.7682;10872.8527;7.1337;0.4885;169.4589;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;35
35;0.3188;101.7516;33843.5497;0.1074;39.0867;10032620.2085;16.5733;0.0;0.0;0.0;0.0;43.076;0.0;0.0;0.0;94.2931;0.0;222.3824;521.3812;742.9268;0.5559;15.1096;10595.8861;7.4249;0.2465;161.193;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;36
36;0.2996;116.3415;36960.1753;0.0946;39.7116;13815536.7568;15.5881;0.0;0.0;0.0;0.0;57.7366;0.0;0.0;0.0;95.806;0.0;244.0712;568.791;814.0555;0.5713;15.8412;11381.0188;7.5125;0.2137;174.2426;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;37
37;0.3595;158.2171;39786.8455;0.104;53.0925;16371268.2705;16.7548;0.0;0.0;0.0;0.0;79.2841;0.0;0.0;0.0;95.8575;0.0;303.7525;524.2684;740.2138;0.2505;15.2835;10189.551;7.9295;0.2171;162.5401;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;38
38;0.3185;104.1526;35598.6178;0.1348;41.3718;12168886.465;16.1663;0.0;0.0;0.0;0.0;50.5559;0.0;0.0;0.0;93.0406;0.0;238.1039;527.4312;805.8227;0.1902;16.1653;11990.5774;7.9327;0.4459;172.0594;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;39
39;0.3228;132.3225;35610.6363;0.1023;58.5387;11915175.0612;16.1314;0.0;0.0;0.0;0.0;45.4411;0.0;0.0;0.0;94.8971;0.0;344.369;513.487;874.6109;0.5303;15.4089;10480.1615;7.1609;0.2192;191.6907;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;40
40;0.381;155.4901;39127.5239;0.137;52.8444;16459892.7184;16.9061;0.0;0.0;0.0;0.0;70.4389;0.0;0.0;0.0;94.6911;0.0;295.9815;520.1359;834.2239;0.5517;16.0221;10008.4488;7.8224;0.3807;173.5905;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;41
41;0.3083;119.9007;38838.5871;0.1052;42.9425;14715902.0028;16.4598;0.0;0.0;0.0;0.0;62.372;0.0;0.0;0.0;93.8344;0.0;244.8076;510.4323;827.6025;0.3667;16.2721;11751.3604;7.003;0.2644;191.4094;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;42
42;0.3505;126.9408;37998.059;0.1342;54.2698;12765780.2636;15.2427;0.0;0.0;0.0;0.0;58.9215;0.0;0.0;0.0;93.7949;0.0;333.9456;597.5802;720.2115;0.2675;15.5818;11273.7643;7.0718;0.4393;188.3533;0.0;35.25;1140.0;1141.0;2.4;2.41;0.0;0.0;0.0;7.52;24.5;250.0;0.0;0.0;0.0;571.0;1499.0;36900.0;0.0;40.0;0.0;0.0;1.0;1.0;1.0;4000.0;43
